event,donor,w_mean,w_disp,rho_lvl,rho_ret,post_div
russia,Silver,0.033383821599366856,0.034950995640869724,-0.047835116329475985,0.06673608733837795,-1.5661507922948352
russia,Platinum,0.09024026542580141,0.07246662711404195,0.47745886088813116,0.175245431134832,-1.394440500868424
russia,Gold,0.03372731639166299,0.03484167927864832,-0.5440576325722907,-0.006642124357549293,-1.6243640671350454
russia,Coffee,0.21839807251177695,0.19154071313223311,0.8769672646013227,0.10752107363885208,-1.5893802402601607
russia,Sugar,0.1636160945962814,0.15894292938359494,0.8788903020061651,0.17526814518297887,-0.7406091420434779
russia,LiveCattle,0.02536517695225542,0.018678360940380508,0.8988098049780711,0.09319811118909684,-0.9757758247976348
russia,SP500,0.1310291318498011,0.1994835515677237,0.933875131855827,0.2832318252777666,-2.7390561554116024
russia,Nikkei,0.011879999502259585,0.007362002146437865,0.7856065991263939,0.11922194981834199,-0.4547221297577427
russia,AUD,0.009266141376163588,0.015247059408481721,0.20791080332917994,0.02507149912180417,-1.4281853436637575
russia,JPY,0.05569052236370509,0.033012004687211875,0.8508072507166485,0.07032725711787022,5.03539308417593
russia,CHF,0.0044159581811090655,0.0076486639337803464,0.21126254409013884,0.05976365140028349,1.4154865122536995
russia,CNY,0.005418029577694069,0.008270487495612894,-0.8377601816286068,-0.04677632844652227,6.017057426541119
russia,INR,0.0011062846369689536,0.0019161411988631184,0.1554333592111161,0.0145399740267344,2.479240820468296
russia,KRW,0.04372948939630394,0.044945694315528355,0.2249482823668498,0.08684967880490028,3.4896146473715994
russia,ZAR,0.05587509265794727,0.053412236014115363,-0.6065975959234186,0.04664551965859545,1.97672639014387
russia,MXN,0.003973484679581997,0.006882277348132559,-0.5182857461361031,0.01253027163626035,0.37054921427128856
russia,TLT,0.08339418955318448,0.05331122065962189,-0.7987218922173893,-0.24470297192001686,-2.2060218219449763
russia,HYG,0.017109039698534372,0.018305347905829224,0.4610078729557425,0.30073038094400073,-4.216124722012022
russia,VIX,0.012381878572222529,0.009735389186227152,-0.5604641427957177,-0.275091850114482,0.20013050806397464
hormuz,Silver,0.005768579450892417,0.009991472696443442,-0.5611033679436253,0.11981188705219717,-1.2661733188872824
hormuz,Platinum,0.027380337251833135,0.04600424723568891,-0.5830553319330408,0.08436696547350452,-1.5504888834640194
hormuz,Gold,0.25868284903484196,0.25663371775623506,-0.7570654239189207,0.14051585360500926,-2.5030772514089303
hormuz,Coffee,0.14122281680625356,0.15387311661219727,-0.7031996327265516,0.007720808000554192,-0.6185079424659734
hormuz,Sugar,0.17123432130511443,0.13748246252524401,0.6310086853255702,0.1408439768835271,0.43246689246360126
hormuz,LiveCattle,0.0034507685976597918,0.005976906536309965,-0.7049653301903657,0.10707876101700634,0.3273843650134783
hormuz,SP500,0.0007913587845195216,0.0013706736218037625,-0.6253334780359595,0.17291527554119868,0.8125996918960369
hormuz,Nikkei,0.014289793146539435,0.014728965297965076,-0.460623562150081,0.025773492873817198,0.6545131602887027
hormuz,AUD,0.0007454723570692412,0.0012911959980820536,0.0592758986461511,0.017370200681739972,0.05802407736528666
hormuz,JPY,0.20739398259185018,0.1722144632301644,0.21665888673883266,0.03154959807460626,0.44654727671709055
hormuz,CHF,0.0029143344100862733,0.005047775268515697,0.7162835467639828,0.03611538470373372,1.0613894934024686
hormuz,CNY,0.002393741965322971,0.004146082704149164,0.37547821103749845,0.03446286426407253,-0.19182857972019268
hormuz,INR,0.003157059044178432,0.005468186667011881,-0.6533311623820862,0.06304656709710205,2.088801616505499
hormuz,KRW,0.004984140048290002,0.008632783795677081,-0.3855473288928985,0.11428433185889933,0.7704675366364582
hormuz,ZAR,0.003877767297544347,0.0067164899792758696,0.37336343004889644,-0.050440704519397764,0.19141096971289967
hormuz,MXN,0.032912511910595896,0.05394085262515321,0.21230332064579271,-0.015597328650587506,-0.06545094695140952
hormuz,TLT,0.09148559346966727,0.09197457089162396,0.4780923088604395,-0.1977612929504118,-0.6911045610020625
hormuz,HYG,0.0022517125470244833,0.0039000805354867303,-0.5701911143243915,0.14449159959041166,-0.19650443473991708
hormuz,VIX,0.02506285625542638,0.03303653231483229,-0.2752413387956734,-0.11928863141775684,-0.613663266213428
