date,gap_pct
2020-01-02,39.33909486141258
2020-01-03,42.52343370831948
2020-01-06,43.58431222862165
2020-01-07,41.14292734461007
2020-01-08,40.188996024922254
2020-01-09,37.35015175534255
2020-01-10,34.92235840880513
2020-01-13,30.35361001093051
2020-01-14,29.845577488015884
2020-01-15,26.600593186227318
2020-01-16,30.195272492330783
2020-01-17,29.09655141434435
2020-01-20,30.24404471480033
2020-01-21,28.159680694329392
2020-01-22,24.366720992469038
2020-01-23,22.807000957686686
2020-01-24,20.591090111091393
2020-01-27,21.19918320123333
2020-01-28,21.63916808627655
2020-01-29,22.940723775186346
2020-01-30,19.17727761253869
2020-01-31,18.71484831694914
2020-02-03,11.088902159663384
2020-02-04,11.630051715591506
2020-02-05,14.56643073666597
2020-02-06,13.77049934014365
2020-02-07,11.514863555316502
2020-02-10,8.126304978150078
2020-02-11,7.605761032876557
2020-02-12,8.876671365104837
2020-02-13,12.258576024358936
2020-02-14,13.563678881109254
2020-02-17,14.549303626318943
2020-02-18,13.38948839406784
2020-02-19,16.435945057615008
2020-02-20,17.913290342425658
2020-02-21,13.64554857474667
2020-02-24,12.263316012971792
2020-02-25,10.03841267298462
2020-02-26,10.637705522697495
2020-02-27,7.384083262809926
2020-02-28,5.135477847378533
2020-03-02,9.588755162245132
2020-03-03,7.845087509640414
2020-03-04,9.464914551273317
2020-03-05,10.249041718402463
2020-03-06,1.2466999770952114
2020-03-09,-20.182394425500185
2020-03-10,-20.61363824765481
2020-03-11,-21.12498938892656
2020-03-12,-25.747112507907566
2020-03-13,-22.294867702425037
2020-03-16,-29.50389435410907
2020-03-17,-28.52089417099072
2020-03-18,-41.64285423974615
2020-03-19,-39.45988114759358
2020-03-20,-37.14750133161164
2020-03-23,-42.32330616992941
2020-03-24,-42.20180281422823
2020-03-25,-41.000667596858065
2020-03-26,-44.685245427464125
2020-03-27,-45.875382741656665
2020-03-30,-52.877975120978164
2020-03-31,-62.82881579684165
2020-04-01,-61.14872300104932
2020-04-02,-48.614516807950324
2020-04-03,-37.693062344012674
2020-04-06,-43.124087156911685
2020-04-07,-44.595425467207846
2020-04-08,-36.84576897879297
2020-04-09,-49.39467906182662
2020-04-14,-44.20665841911432
2020-04-15,-49.85150115249445
2020-04-16,-52.436955360462356
2020-04-17,-50.260728859313986
2020-04-20,-55.12329441932433
2020-04-21,-75.67185124285487
2020-04-22,-63.51740309714757
2020-04-23,-60.22470692325539
2020-04-24,-57.14449792518036
2020-04-27,-57.60170067194016
2020-04-28,-56.90751862381853
2020-04-29,-51.79782012245929
2020-04-30,-53.26538792831113
2020-05-01,-53.77818942351844
2020-05-04,-47.36323998412446
2020-05-05,-36.32368364295968
2020-05-06,-37.628999547332995
2020-05-07,-37.51677337336902
2020-05-11,-33.75144711169528
2020-05-12,-30.790243150199114
2020-05-13,-27.26487454160489
2020-05-14,-23.19781546482982
2020-05-15,-20.052401536212404
2020-05-18,-16.378367618593913
2020-05-19,-17.616529945202643
2020-05-20,-14.856700599226825
2020-05-21,-13.5510461577646
2020-05-22,-15.432215488720303
2020-05-26,-16.303598060447055
2020-05-27,-17.62830999252586
2020-05-28,-13.911566572549939
2020-05-29,-13.383841577397126
2020-06-01,-7.876203904586743
2020-06-02,-6.697938369924838
2020-06-03,-8.481573867059844
2020-06-04,-7.8054556641972255
2020-06-05,-3.385441327209271
2020-06-08,-6.260515168684844
2020-06-09,-4.388964027528674
2020-06-10,-3.589201559082922
2020-06-11,-9.792673215234283
2020-06-12,-7.312147452469874
2020-06-15,-5.386896975377176
2020-06-16,-3.361530467811258
2020-06-17,-4.253830813443161
2020-06-18,0.44356813861998745
2020-06-19,1.1511972983554664
2020-06-22,3.344385274890671
2020-06-23,2.789060111589947
2020-06-24,-2.6794456050364235
2020-06-25,-0.524108806243373
2020-06-26,0.07271616380459811
2020-06-29,0.07572594824813983
2020-06-30,-0.9797267226472339
2020-07-01,-2.1460409055242047
2020-07-02,0.020482021459500288
2020-07-03,-0.6723464551317893
2020-07-06,1.7022865361884465
2020-07-07,1.1325803228965592
2020-07-08,2.744345893395117
2020-07-09,1.2333599380185412
2020-07-10,4.425041722172729
2020-07-13,3.878347022340045
2020-07-14,5.991605125329058
2020-07-15,5.5124075836535
2020-07-16,4.833370054243802
2020-07-17,3.6918255937789635
2020-07-20,3.883011515793511
2020-07-21,5.968200288917891
2020-07-22,2.1203229287888536
2020-07-23,0.44939177833254185
2020-07-24,2.5805297709044828
2020-07-27,-1.1188707376000973
2020-07-28,-0.9777106985730866
2020-07-29,-0.40985869478833425
2020-07-30,-2.965029725918822
2020-07-31,-5.782624323688424
2020-08-03,-4.772014010285874
2020-08-04,-5.36728792290011
2020-08-05,-2.2597921330916093
2020-08-06,-2.9609917197322533
2020-08-07,-3.379688430687633
