date,gap_pct
2020-07-01,6.962619205419807
2020-07-02,8.849498673702927
2020-07-03,8.056646111424893
2020-07-06,9.64776998234882
2020-07-07,10.004096528827677
2020-07-08,8.595745548786349
2020-07-09,9.526973946902274
2020-07-10,10.165320827068648
2020-07-13,11.431010238066852
2020-07-14,12.886954190483157
2020-07-15,14.344851066206644
2020-07-16,13.311688053798964
2020-07-17,10.05791964456244
2020-07-20,8.81246908586142
2020-07-21,8.410852850432748
2020-07-22,3.184021490342648
2020-07-23,3.184355670347272
2020-07-24,5.364205590634219
2020-07-27,3.8559146854616477
2020-07-28,2.928392576459049
2020-07-29,3.3415010326561356
2020-07-30,1.749835773716324
2020-07-31,1.4296791619894167
2020-08-03,1.8877179001917321
2020-08-04,0.9684192254683088
2020-08-05,0.93679785454579
2020-08-06,2.0994300919428666
2020-08-07,3.4007250424181956
2020-08-10,3.6430291489869093
2020-08-11,3.0608136730592816
2020-08-12,5.924140815325396
2020-08-13,2.5934730881741697
2020-08-14,3.3366547790620427
2020-08-17,2.7778911465105915
2020-08-18,3.043368498725041
2020-08-19,3.095443722389568
2020-08-20,2.596583510380901
2020-08-21,0.7892449592991957
2020-08-24,0.5409874623904853
2020-08-25,1.943597034487654
2020-08-26,2.2674645837431173
2020-08-27,0.6701298258764199
2020-08-28,-0.39282508001189376
2020-09-01,1.1061463125839666
2020-09-02,-3.379147362564061
2020-09-03,1.0755122264022088
2020-09-04,-6.368340866660294
2020-09-07,-7.49950254747076
2020-09-08,-11.07681371576047
2020-09-09,-8.45952271963345
2020-09-10,-11.658720832141345
2020-09-11,-13.962285119839668
2020-09-14,-13.951936708449953
2020-09-15,-12.477252384114458
2020-09-16,-7.795842974919898
2020-09-17,-2.3745234521239444
2020-09-18,-2.1088068060213128
2020-09-21,-2.496771627802108
2020-09-22,0.06771921390411606
2020-09-23,1.7401736304429205
2020-09-24,2.536512540897262
2020-09-25,-1.1849796062576856
2020-09-28,0.40984501077236946
2020-09-29,-2.2794657483835468
2020-09-30,-4.516107475724573
2020-10-01,-4.183513610546319
2020-10-02,-8.450446316127646
2020-10-05,-4.602855426224551
2020-10-06,0.5369220324765722
2020-10-07,-2.9009118060812966
2020-10-08,-0.37412728661236905
2020-10-09,-4.257493766624054
2020-10-12,-5.646316908405257
2020-10-13,-3.910379287557708
2020-10-14,-1.9403582834004673
2020-10-15,-2.231199817610907
2020-10-16,-2.6890722579174353
2020-10-19,-2.1466018303482937
2020-10-20,-1.6453551977655745
2020-10-21,-6.13515521033351
2020-10-22,-5.340626603909415
2020-10-23,-7.121711213375914
2020-10-26,-8.166992543730188
2020-10-27,-6.4937324872791695
2020-10-28,-6.701436820081142
2020-10-29,-9.491149709237778
2020-10-30,-9.459848478761558
2020-11-02,-5.6978972206741085
2020-11-03,-7.328009823572923
2020-11-04,-5.385554721802032
2020-11-05,-8.536903511356597
2020-11-06,-12.894376599941527
2020-11-09,-7.106164588997654
2020-11-10,-5.947657916596027
2020-11-11,-4.960909852312501
2020-11-12,-4.57392089822134
2020-11-13,-7.315319187602299
2020-11-16,-9.306399459622504
2020-11-17,-9.906360813248039
2020-11-18,-10.326271787447816
2020-11-19,-10.293736995791736
2020-11-20,-7.75252633290493
2020-11-23,-5.711910697297085
2020-11-24,-3.8727581585573545
2020-11-25,-3.5215070006916593
2020-11-26,-5.597562775802545
2020-11-27,-7.209313404920548
2020-11-30,-6.573880270974386
2020-12-01,-5.633782416473132
2020-12-02,-4.664596964522039
2020-12-03,-4.00689445682072
2020-12-04,-4.324378460140421
2020-12-07,-4.403067739620548
2020-12-08,-3.6037408604718824
2020-12-09,-3.7742884405448596
2020-12-10,-2.585127909508822
2020-12-11,-2.4550998417504855
2020-12-14,-2.669371706300705
2020-12-15,-3.9648435863673948
2020-12-16,-4.639438555524789
2020-12-17,-5.474293935522168
2020-12-18,-3.638088945520257
2020-12-21,-1.8649513558941955
2020-12-22,-3.847242910135029
2020-12-23,-3.2888597559368016
2020-12-24,-5.534572065361787
2020-12-28,-5.032442651019342
2020-12-29,-6.648779521439163
2020-12-30,-7.074362870974538
2020-12-31,-7.295599052243606
2021-01-04,-5.797836574058179
2021-01-05,-3.803951759199642
2021-01-06,-1.6675830891987764
2021-01-07,-3.8897798595273647
2021-01-08,-0.6786673361208195
2021-01-11,1.0604857705527992
2021-01-12,1.352746041133246
2021-01-13,-2.4774440670286224
2021-01-14,-2.939270062993027
2021-01-15,-3.1599393657548713
2021-01-18,-4.013356057616546
2021-01-19,-2.4380360732145223
2021-01-20,-3.438201052288903
2021-01-21,-5.215212059645924
2021-01-22,-3.7663864767298882
2021-01-25,-1.9044235596355596
2021-01-26,-2.393494445227584
2021-01-27,5.0455576955172665
2021-01-28,3.2618128969232885
2021-01-29,4.991216871870829
2021-02-01,4.047343305844886
2021-02-02,4.126119827939689
2021-02-03,2.877846948019225
2021-02-04,0.8573750017378368
2021-02-05,0.8952766106896215
2021-02-08,0.34833637434188436
2021-02-09,-0.295359829858044
2021-02-10,0.557752533226652
2021-02-11,-1.1909760852656381
2021-02-12,-1.213128599812252
2021-02-15,0.4440723821843351
2021-02-16,-0.8501807138291073
2021-02-17,1.493437777243889
2021-02-18,-1.035818347125106
2021-02-19,-4.23752431793083
2021-02-22,-2.7133764596983245
2021-02-23,-2.311166930552877
2021-02-24,-1.961493519276436
2021-02-25,3.16005248056892
2021-02-26,5.349584372868099
2021-03-01,-0.6579008690558052
2021-03-02,-2.1925788714632244
2021-03-03,4.030675577511178
2021-03-04,12.319719920814599
2021-03-05,14.488704410121734
2021-03-08,10.07671184968515
2021-03-09,10.506664954906398
2021-03-10,7.461248610272708
2021-03-11,6.707328449451477
2021-03-12,4.1423802449928715
2021-03-15,4.561840864005373
2021-03-16,1.6207786949591796
2021-03-17,1.818890496889769
2021-03-18,-3.925591174267906
2021-03-19,0.29184063208369526
2021-03-22,-1.8088956945642831
2021-03-23,-5.4240789919292265
2021-03-24,2.3064552764871404
2021-03-25,0.26283403500686475
2021-03-26,1.12297826558172
2021-03-29,2.639054333440205
2021-03-30,2.5382249943076474
2021-03-31,1.2588865540238192
2021-04-01,2.4965673499176777
2021-04-06,-4.170493085333216
2021-04-07,-4.425567456000379
2021-04-08,-5.24575436646697
2021-04-09,-5.558361492025144
2021-04-12,-2.6039262271215224
2021-04-13,-2.5375810074018013
2021-04-14,-0.043992580947860294
2021-04-15,-1.080582726330026
2021-04-16,-0.6624499185572286
2021-04-19,1.1722941927586605
2021-04-20,-0.2312879670476109
2021-04-21,-3.752748474143419
2021-04-22,-1.662094493074806
2021-04-23,-4.674475821783563
2021-04-26,-6.6807873392419115
2021-04-27,-7.758770235342238
2021-04-28,-4.936062658987672
2021-04-29,-0.6443323074634355
2021-04-30,-1.2282224976114975
2021-05-04,1.8570904915292008
2021-05-05,0.4144410905806195
2021-05-06,-5.223433312262804
2021-05-07,-6.395977315266865
2021-05-10,-3.520169083333591
2021-05-11,-0.8749831387379281
2021-05-12,3.729594874574338
2021-05-13,0.5291706753006498
2021-05-14,2.168497762906063
2021-05-17,2.821799259710178
2021-05-18,0.8114632566745383
2021-05-19,-0.45842122005518293
2021-05-20,-2.8519594943219317
2021-05-21,-0.4712230279342089
2021-05-24,1.3063924541100613
2021-05-25,1.2947315594303843
2021-05-26,-1.1531149293026788
2021-05-27,-0.4744276079747478
2021-05-28,-2.1004852370301808
2021-06-01,-1.8210442081429412
2021-06-02,-0.6670373891302539
2021-06-03,0.7536181769557837
2021-06-04,-0.7856093042205359
2021-06-07,-0.9550655304053302
2021-06-08,1.1946505366751348
2021-06-09,1.9363633617167642
2021-06-10,0.8649738527295892
2021-06-11,1.0740554549702797
2021-06-14,3.324213250999186
2021-06-15,6.567842131426049
2021-06-16,7.909846700520329
2021-06-17,11.42928611170091
2021-06-18,15.49055922181699
2021-06-21,14.156968725911945
2021-06-22,12.87362105499328
2021-06-23,10.499877449481154
2021-06-24,11.335547053992201
2021-06-25,9.321616975954306
2021-06-28,6.28055075454288
2021-06-29,9.384488836199377
2021-06-30,13.410131894423039
2021-07-01,12.409556550149947
2021-07-02,13.992548780719583
2021-07-05,14.835220197852706
2021-07-06,14.197904723003552
2021-07-07,11.61511432933131
2021-07-08,15.3703573481766
2021-07-09,13.46498149088271
2021-07-12,10.656454798613723
2021-07-13,13.297433017180849
2021-07-14,8.204584768431843
2021-07-15,7.067815993668836
2021-07-16,7.530232877691345
2021-07-19,8.243770544196671
2021-07-20,3.7517264519541182
2021-07-21,2.8084605800026585
2021-07-22,0.4318562619467725
2021-07-23,2.79827282844336
2021-07-26,-0.9593336913340411
2021-07-27,2.2860487461418
2021-07-28,1.7398758893889532
2021-07-29,3.556351216756548
2021-07-30,10.709680283454869
2021-08-02,7.788278843701502
2021-08-03,5.2552576073952695
2021-08-04,2.4054314040810487
2021-08-05,3.3758910219824134
2021-08-06,0.9013939645426738
2021-08-09,-1.074319344624275
2021-08-10,-0.7963227369639725
2021-08-11,-1.0604635798683093
2021-08-12,-3.911037741084389
2021-08-13,-4.391273224213299
2021-08-16,-4.691702899534677
2021-08-17,-2.5526273902418795
2021-08-18,-1.213429111453146
2021-08-19,-1.1742870769780756
2021-08-20,-5.933491887933451
2021-08-23,-2.9900344088422015
2021-08-24,-1.4709081743926378
2021-08-25,-0.7083039583351103
2021-08-26,-0.8643296436601555
2021-08-27,-2.234040962810946
2021-08-31,-1.0996077644825353
2021-09-01,-2.980976757542131
2021-09-02,-0.7337062342735456
2021-09-03,-2.2889481661514055
2021-09-06,-3.3353562768566714
2021-09-07,-2.927671324672809
2021-09-08,-0.06714987701811337
2021-09-09,0.3974507342587419
2021-09-10,3.39075279869967
2021-09-13,3.810447387858318
2021-09-14,5.2870860648644324
2021-09-15,6.569375896011831
2021-09-16,7.580996345494073
2021-09-17,8.195664198554553
2021-09-20,15.013437681315999
2021-09-21,11.208261887939909
2021-09-22,9.09738547119714
2021-09-23,5.684930867361726
2021-09-24,3.9018443821941196
2021-09-27,5.93173580128179
2021-09-28,6.586128925716639
2021-09-29,5.752353143314326
